owner,project,sha,sha-p,year,language,cve_id,cwe_id,score,severity
FFmpeg,FFmpeg,0eaec10550bd9a0682db9f7920ed0d86f1450f4b,b2a0a7fb8a3580897f2c9d8f2d160a5acab433e4,2002,c,,CWE-119,,
rubinius,rubinius,0f37846c2e23c8453b55d0ea598d17f1cbaedc32,aee7f2b9289f4d9cf77d85281b04bae8e0f8681f,2007,c,,CWE-401,,
php,php-src,0fb7618d6e74b4304d0512f5fe64770e3944dad6,a6bcfeccf773485657e8fd99f121a5810cfe2097,2006,c,,,,
MISP,MISP,0fff291c6758c5c36d4d600208c47268ca1a41d4,aa8ba55daccf1f4f9b5eab07589fd9fb3df9b895,2012,php,,CWE-352,,
openssl,openssl,103b171d8fc282ef435f8de9afbf7782e312961f,1421e0c584ae9120ca1b88098f13d6d2e90b83a3,2015,c,CVE-2015-0206,CWE-119,5,MEDIUM
josh,rails,10a63e2a0cbdc1e8e4d7aef87afc868bd599ca94,f6de806537d60e94183f26cd6a16da426e84911e,2010,rb,,CWE-74,,
Graylog2,graylog2-server,10e459de844424e3ea289eba84f963c033f76fad,0a038a4dad382499e0b8b5694d7d2d8c5635cef6,2015,config_files,,CWE-928,,
OpenVPN,openvpn,11d21349a4e7e38a025849479b36ace7c2eec2ee,9a3f670248d6f519a399e65a7232e2196b5115db,2013,c,CVE-2013-2061,CWE-200,2.6,LOW
mantisbt,mantisbt,11ab3d6c82a1d3a89b1024f77349fb60a83743c5,ecd12610576e71764a318d8ead1c753ab7a30d16,2016,php,CVE-2016-5364,CWE-79,4.3,MEDIUM
nginx,nginx-releases,12368999b3ed45cde5e4cea8ea985d4444dcd932,27294215f36bb3c0e2ed2f438f615efc2bc67260,2010,c,CVE-2010-4180,NVD-CWE-Other,4.3,MEDIUM
curl,curl,1238edaeaf947b896aafd9ddffc8430dea179c3a,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,2011,c,,CWE-401,,
openssl,openssl,1250f12613b61758675848f6600ebd914ccd7636,11e7982a7cc6cbbcbb13046ceed37639c26a0bc1,2014,c,CVE-2014-3506,CWE-399,5,MEDIUM
forkcms,forkcms,1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9,e45964aa7ed3621df4963991d3df03bbd3d6b8ec,2012,php,,CWE-79,,
curl,curl,12e78a082eeb116c528572e6de51b7c4a0eb1bf1,9273096a8ab7e31921550b9f7b08eb2b32dcc35e,2003,c,,CWE-119,,
mantisbt,mantisbt,132cd6d041f8ef5811e4eca8bdb516c893ebb52e,7cc4539fca65a61c48a40e31787e7d4751a7f9bd,2014,php,CVE-2014-9571,CWE-79,4.3,MEDIUM
curl,curl,1343756742463488c63453723b2bfe002e45c47f,ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,2014,c,,CWE-401,,
Pylons,pyramid,13906d6a2eb8c852d32752dca9e06e7d203d86d8,5a20b131b921362785dda87409ca8eb3a1a9c6a1,2011,py,,CWE-208,,
openssl,openssl,146b52edd122f55e2b2bfeb486dae8dbe96f739e,13747c6fdabbba33cb187a133548b73d41ae282d,2012,c,CVE-2012-0884,CWE-310,5,MEDIUM
cakephp,cakephp,1545b730ae756c2e565083fc66624cc9fb949f35,ae3d082dd6e29607518e557590ae74b7d525ff60,2007,php,,,,
moodle,moodle,16303ee90546962c473829418f4cba207c164dd6,9e1c2ba45c1672cd47e6f81cdcda61712c5cf956,2005,php,,CWE-384,,
josh,rails,16669774903dd7bfaaf1bf8f0c72e49ebaeffeeb,1911f8eee928915f1020753a4a3ba34c81131a66,2005,rb,,CWE-401,,
mantisbt,mantisbt,1677251434b6e8b2be8f1d4376a3e78f7be14d95,c26b34b6cf24f69ece52d3409fd16d659a767fc9,2017,php,CVE-2017-6799,CWE-79,4.3,MEDIUM
cakephp,cakephp,17e4eee73d84dbc5a65a4b9fae2adafdf6d46e45,2219991d3b166d2ecaa49ad5b78b0380aca9df2f,2013,php,,,,
curl,curl,1813a77b024d03b59fe5b591a5c5ecced02a9e66,d3d871cb4fe1512b689bb29cb49473cfcf91c684,2014,c,,CWE-401,,
fruux,Baikal,1896af0a45ef30f2a3048a5decb838c2c1da5608,95b18da309438712ffec7e8c1f20984b9ec1e232,2014,php,,,,
curl,curl,18ca0aa9842d3fb6e0740515df7b5960fab4408e,c4e6c33b13ba2968713a468736948b6364a50810,2013,c,,CWE-401,,
curl,curl,192c4f788d48f82c03e9cef40013f34370e90737,da0db499fd1fed3ab061d8c03d25c06164c9f429,2013,c,CVE-2013-2174,CWE-119,6.8,MEDIUM
qinxuye,cola,193270fa323d3c76839b751fbf664d79f0579fde,5048d32a7de9242e20f781f749fb3d373b8a2aa8,2013,py,,CWE-401,,
WordPress,WordPress,19848b9d90b63469d3c70b7e79400d10795601d0,60de32b047a658529d049e7e541ba7105cbdbcee,2009,php,,CWE-79,,
dlitz,pycrypto,19dcf7b15d61b7dc1a125a367151de40df6ef175,373ea760f21701b162e8c4912a66928ee30d401a,2013,py,CVE-2013-1445,CWE-310,4.3,MEDIUM
WordPress,WordPress,1aebecad96bf2e924f3d1970bbead03ee01eecd6,3b1ee8f5abd84cf5ac2ed3a04614db304a6fee91,2003,php,,CWE-89,,
cloudius-systems,osv,1b880d17faf273a3a49c121a3bf65c8c0617cd1b,7166013b2927cd9a0c6bf080db07e04d4823f01b,2014,c,,CWE-401,,
phpmyadmin,phpmyadmin,1bc04ec95038f2356ad33752090001bf1c047208,d32da348c4de2379482a48661ce968a55eebe5c4,2014,php,,CWE-79,,
moodle,moodle,1bc6c1ed3788edfd8cc108d637f6845c6f24ac88,c8e564f5ff6a47a93eafff3c23fba955ad508dfd,2007,php,MDL-9288,CWE-74,,
tornadoweb,tornado,1c36307463b1e8affae100bf9386948e6c1b2308,7279a303d1c366aabd4facfc6b29ed46c3422350,2014,py,CVE-2013-3587,CWE-200,4.3,MEDIUM
openssl,openssl,1d2a18dc5a3b3363e17db5af8b6b0273856ac077,7ead0c89185c46378e3ed85c0012d083f4b3039b,2015,c,CVE-2015-0290,CWE-17,5,MEDIUM
MPOS,php-mpos,1d5e69d219144a5abaac4b56418b60b63b272d48,5d8fecfd812bd74c320919b2e3dfd25421c17dc8,2014,php,,CWE-352,,
rubinius,rubinius,1d69526c484cc9435a7198e41b8995db6c3acf1a,4aa59c4128290b702802ebe41be44edda27da9a9,2012,cpp,,CWE-407,,
owncloud,core,1d6ca084a6f5414ae3bb0753500ad386c86d087c,3b9bf83fe7833c2cf8d1d9fc2f0f2a41b2a92ebc,2012,js,,CWE-79,,
openstack,nova,1ea998649058f78f63a167dd697cf5f6732596ff,f9d23c69e25a2ce5e8c3a37d1e771d02c43cbfb5,2012,py,,CWE-208,,
slimphp,Slim,1ee41b74963b5ce23caae67582aceddb982b43db,20b09ca587b6f1215bb10ad39b92c2c540b2cd35,2015,php,,CWE-208,,
openssl,openssl,1fb9fdc3027b27d8eb6a1e6a846435b070980770,ac9fc67a488427bc3e987f5a4c235e8fbeedf711,2016,c,CVE-2016-2181,CWE-189,5,MEDIUM
pfsense,pfsense,2003b5d8bc9c9b2b7aa72f4d3c4532c7349264cd,f17f9f2891b459e3f119ced5857469b96c57dde9,2010,inc,,,,
BradLarson,GPUImage,202ce483fcc474a60d358bd068317a415de93f86,bc1c59a195167863548423459f9ac9e13d201c0a,2012,m,,CWE-401,,
moodle,moodle,20a79b431683fbe7c0b18e566b90c79db80b7397,e08de1b4954f984e96961cb5c7ca150079d9d92f,2010,php,MDL-24079,CWE-89,,
joomla,joomla-cms,21086355e63dc0514b094275df2bb224f290120d,9bbf2be61b5738d84926a7e9bb40cd123d2961ad,2007,php,,CWE-89,,
mojombo,god,210907fa9a9fdf765b7241666ac93682adc372db,1f23f631322fa83353ce06f671cb9ad5a779ef4a,2008,rb,,CWE-401,,
owncloud,core,211a546600de0d108d3c1b66602dec681ff18837,b0ecef02e905972bdd963ba03610e5c025a36e1b,2012,js,,CWE-79,,
scalikejdbc,scalikejdbc,2197ff982e507355dba55883be2195d654bfbb2d,0066d580d8ab21d252310bd0206fa62effa6137b,2013,scala,,CWE-89,,
torvalds,linux,21c5977a836e399fc710ff2c5367845ed5c2527f,ec8f9ceacef719a844ca269d654502af6a00a273,2011,c,,CWE-401,,
pfsense,pfsense,21eff66f3199bb0c50c9ea5a9a473043dd4991a1,ce0a5816476bd4703b85a30396123f13da5be174,2007,php,,CWE-79,,
FFmpeg,FFmpeg,23edd41a0d6994cb5d9983d8f035e8eef78960ad,9244b839b788e4677019041907ff5a4378a23490,2017,c,,CWE-134,,
ci-bonfire,Bonfire,241e32380cbdfcb35ed3796fbaa59575a25aff1a,2a0115a93c5368ec5d1cc5bb35e08f4988373b7a,2012,php,,CWE-79,,
openstack,nova,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,d335457f48d09c3d780c92413fe777030c1335e2,2012,py,CVE-2012-3360,CWE-22,5.5,MEDIUM
openstack,nova,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,d335457f48d09c3d780c92413fe777030c1335e2,2012,py,CVE-2012-3361,CWE-264,5.5,MEDIUM
josh,rails,24d244c1bc1a744de599df18d74c9b343fd4c9fe,d3bbb23b2fdc6f597410e83e604d4919174aaa27,2012,config_files,,CWE-928,,
yigit,android-priority-jobqueue,254cd596fb0c5ab16a7259fda6a6d90ce7fb6944,66363dd3c93066c8ddeb1728f25804ec2522ab09,2013,java,,CWE-119,,
MPOS,php-mpos,256b5f59c60f89be5da5d7c89e78a56d3a6876b3,8fbad03457cc1e0691b816f163b71e8c6d29f13a,2013,php,,,,
osTicket,osTicket,25ae16b169da0a58c600da19c70bd38efdde90ed,0ed92da68bfa62f912496ff57ae3ab0e08cc5d00,2015,php,,CWE-79,,
apache,cassandra,260163994e4ac71fafb0578cb143ab4f0f22d6ad,52430b93e502dd44f6f0e1bf097ccaaa45e74fd5,2015,java,,CWE-402,,
php,php-src,26471eb69c3cd9e8162ff3b398d33919d9075191,e41f600365fe9f27727a62a850a4d55416ae856f,2015,c,,CWE-416,,
ci-bonfire,Bonfire,26d3cccc472fca71f4e945f6bc5994dc2879c520,e7800df796da60c2cac7ade0fd3949d6907e3664,2012,php,,,,
mantisbt,mantisbt,26f209a2701ad31e1563723aea48e9e577ec1087,66c142dc3b652cdb07d61f2edbf3a798234ef48a,2014,php,CVE-2014-9271,CWE-79,4.3,MEDIUM
haberman,gazelle,278f870414aa841d2b34a6e7b4078171f3d363c1,912eacb66a536349b3e7dd45421d492638180887,2009,c,,CWE-401,,
lxc,lxc,2802732032aeaabe8c793ae76112d9c8ba13ee23,bb1d227404ff96564877a04ef9299c63f608f543,2013,c,,CWE-402,,
freebsd,freebsd,288028aac36a694f43f44010f0f3e1656124e93b,75e242c27e430ad45d44e9d44a3d2f2465f884e4,2016,c,,CWE-404,,
openssl,openssl,28a31a0a10f41ef855cabab4e18c994c44225125,cc22cd546bd0b0e1b55c1835403ab564d5f30581,2017,c,CVE-2017-3733,CWE-20,5,MEDIUM
WordPress,WordPress,28a80ce82af438e76c4841990f98a702ace845df,013d15ebd41981e433121014675d744e63bfe29d,2010,php,,,,
edx,edx-platform,2926c94330491cbaa3232b7c76d197453ffba069,ab482277bea6d77b99ce9cd1cdb9061a94ddb89f,2013,py,,CWE-79,,
mantisbt,mantisbt,294d34c3ad18a85e0b7ecf498d1679544e58da80,e1ac36d37af93685cc8203d4dc930cbed047e744,2008,php,CVE-2008-0404,CWE-79,4.3,MEDIUM
php,php-src,29a4e710de6a73341da3d268343fdfc072ba682a,94742054a845f483b4d59ac28fa65ee029dc3c92,2015,c,,CWE-416,,
graphframes,graphframes,29c27111a7608f42e7d0b5f8a22b1957a196d74e,3ca57b38e9f2ead71e24e42abc84f3ba558d2b38,2016,scala,,CWE-119,,
mantisbt,mantisbt,2a1eed9db111c0b1c8e9036ba3a2dcc21255e7fc,4b0e0d5d5494c347a8dfebb35605a73a457a2d00,2010,php,,,,
openssl,openssl,2aacec8f4a5ba1b365620a7b17fcce311ada93ad,9cf315ef90d0cfeb8bb7a38873eea07a8f0dffec,2015,c,CVE-2015-1793,CWE-254,6.4,MEDIUM
scalikejdbc,scalikejdbc,2ac05aaa56f6cabe51b708f9ed8cc4c52dab96ff,db240ce42a1e6041d9459ed9c3c1f42d6570d54b,2013,scala,,CWE-89,,
curl,curl,2acaf3c8046ae2c340f628d1af5ecc9be105f875,9756d1da7637d1913b7ca2b589e4635f32ed3e00,2015,c,,CWE-401,,
AFNetworking,AFNetworking,2b2558a90e7bfb2ef5169b1ca21b91851e5a5b7d,49186d9a3032dc02da1d0cc445cbf69b0cfb001b,2012,m,,CWE-119,,
slimphp,Slim,2be864c28f35f70d60a2e682a7ca28f31456106a,1a30b092861d391e6822cfc999b2913d9064a0a6,2013,php,,CWE-611,,
joomla,joomla-cms,2bee506a9105fb9c80da4c088baae2878f469f65,b9b649cbae454943e3b73a6fbd9d5486cec0e8eb,2007,php,,CWE-79,,
joomla,joomla-cms,2c968f0082f70e9597679a4359c5b26f391b3ac2,73166721680177bb3d63eeeed973f47895a68af4,2006,php,,CWE-74,,
josh,rails,2ced6f2f8a85957b160710ae5d9fb245a6106550,d99e8c9e1618f509bb35f052d4bd0d1848bce771,2013,rb,CVE-2013-0156,CWE-20,7.5,HIGH
travis,cosmo,2cf68a08d919836b464a4fd5e23cf0e2df83cb60,07652f8431724abc038d2af89cb1eddb1e98c1e6,2006,js,,CWE-401,,
josh,rails,2d02199e1581db8dc84361803950b1697f493fc0,4965b1b96163aa7bbc5f14d237683a12300e0798,2007,rb,,CWE-79,,
mantisbt,mantisbt,2d2309a384bcd9d4b6d7d2928e8ded2c46d2d7b0,a64a0d220a44ec7d26fce77154f7ee2a62337a95,2017,php,CVE-2017-7620,CWE-352,4.3,MEDIUM
joomla,joomla-cms,2d9d949b4f443f85112d6431ec0d9b5c22f829f0,3c38c18ac058796559d6a777789f39b4d492c362,2007,php,,CWE-89,,
josh,rails,2e3c3a87d81e16a2fed442c1cf31360f75737a83,46923cabe156852bac1ae99c4509ff2780eae2a1,2013,rb,CVE-2013-6414,CWE-20,5,MEDIUM
mantisbt,mantisbt,2e4ed26b3b6d5e478fa147c0ed706b33697f959d,6f0d8df6f772e4ef6517ae6fb92057670b07cb5f,2004,php,,CWE-79,,
curl,curl,2eb8dcf26cb37f09cffe26909a646e702dbcab66,96ffe645fd2494f14780f7c105fcfeeb8ca7d94f,2013,c,CVE-2013-1944,CWE-200,5,MEDIUM
spring-projects,spring-security-oauth,2f25d164f2c136878d23bfcc1c03a5234cbcece9,9fbade981e1c157aa78baa3d88c6426d039ca77b,2011,java,,,,
WordPress,WordPress,2f9ab6e3337daa3e68314eb737a8e8bd964725fa,031370065763ebd5f78f88c559de3c63dcbf9257,2003,php,,CWE-79,,
openstack,nova,2ffcf18d00eff6fb0777769469c4aa5ac7bbb6c9,bf70df295b0529da9f4381f52fc94d328fa2fdb3,2015,py,,,,
curl,curl,3017d8a8d8849ebd4feae4f5eae037cd55736a61,cea1fd7a9414b628e3b462b08ee3b64f24a689d1,2016,c,CVE-2016-0754,CWE-20,5,MEDIUM
josh,rails,306dc1a499908ba105e6b0fe8b8e01824c5e04d7,e759b5277e404cb0ca8353d0c6eba8a5c471af41,2014,rb,CVE-2014-3514,CWE-264,7.5,HIGH
BradLarson,GPUImage,307c8ff843353ae4db646b4e2293ab01ba53a073,d05b56b6c391e662599780998720ce9d3a0b899b,2012,m,,CWE-119,,
realm,realm-cocoa,30be0ce78d908e5e0d99918a18ce3a554e45b5cb,7964a8970bd3ebd8d520c84d0d6fe3b258769a73,2016,mm,,,,
freedomofpress,securedrop,3102925d369c5110e0c50a80684814a5efa30011,eec829a794f7b197810fcb5bfec8c3f7b5ea4776,2015,py,,,,
django,django,316bc3fc9437c5960c24baceb93c73f1939711e4,710e11d076b9e5ef3e3b486dfb70bb55b788691c,2015,py,CVE-2015-8213,CWE-200,5,MEDIUM
mantisbt,mantisbt,317f3db3a3c68775de3acf3b15f55b1e3c18f93b,9869270e87121032089ea28c4a389fb460d2c739,2011,php,CVE-2011-2938,CWE-79,4.3,MEDIUM
vanilla,vanilla,31484fe7a0db80b8ff8e9e46fbd8215ca20ccb79,b5a6fc954c891ef38477a05f245d6abf0b7eb2a8,2012,php,,CWE-79,,
openshift,origin-server,32564a0839b1517d762afab2013c26c0959bac00,f5d91bb2823eb695225b0412809dd51361d9aac7,2012,php,CVE-2012-5647,CWE-20,5.8,MEDIUM
php,php-src,32c5a87a148d49450afd869f1a611bdf669e986d,e2d606e18b7079f7b7127fb581ccffc2f6104de7,2007,c,,,,
ushahidi,Ushahidi_Web,3301e4886c06941b4321e147cebe8a8d36fbd7ff,68d99167a4280038f05f9faf903d3601a167e143,2012,php,CVE-2012-3470,CWE-89,7.5,HIGH
mpv-player,mpv,337ad4fef400df103c8256152ca35512303fba66,8e4eee9a9adc0b40b0ad7f182808c77bf24f7c47,2016,c,,CWE-402,,
josh,rails,33cb47ee488b2381d87f5bb36818cae5fa76c22e,1879c259b870938c42d5d52f63123bfa0b8c81c8,2014,rb,CVE-2014-0082,CWE-20,5,MEDIUM
spring-projects,spring-security-oauth,3425e1d534b0cdee5a3c060abcc0233fbe74d4f7,00afb535ce8736f26a2ac270fabb8dc62943b0cb,2015,java,,CWE-79,,
curl,curl,3454319c17d817a0eba289158493d4066d57cdbb,02c78ecf8134fc9961efd3563970672858d503fd,2003,c,,CWE-401,,
composer,composer,34553804132ef6291bf2aa1c794a044cc09745c6,2f3db8c397bc717c4ee14f356eb7a8d7c35ce7a4,2016,php,CVE-2016-5385,CWE-284,5.1,MEDIUM
h2o,h2o,34959c4b0c1af43144ea62f3a89283c523c3c1de,ea4816f2f12f0e821c4655584c08847b0aa1cd4a,2016,c,,CWE-402,,
mantisbt,mantisbt,34de876c4d7ec870f4234675b5a2bed8e71f7450,f61a4ab229059f4a424609bc20757b7bd6c56f9b,2007,php,CVE-2007-3215,NVD-CWE-Other,6.8,MEDIUM
jspahrsummers,libextobjc,357e57fd89e727881befe718728de8962128cb6c,821599787089f794228cc8bfac6a1b97c3e6227d,2010,c,,CWE-401,,
openstack,horizon,35eada8a27323c0f83c400177797927aba6bc99b,648b07895c3e09218e165ec0f61bca7e3d6eb691,2012,py,CVE-2012-3540,CWE-20,5.8,MEDIUM
nextcloud,server,360c22fd2821ed440089d7899d4c6680a0676410,76e0ca785bb473ea63d7811349cc27d6999fde8f,2012,php,,,,
mantisbt,mantisbt,36ed5a459ab0d7757dc0160fac361485efc2d133,2e841fb3d4fbf9e1a908a301823f5911108592e3,2002,php,,,,
nextcloud,server,370123b8b0b7adc21429b991f06e2c5052a54795,e5d78a35231d1412aa7427f061aacdf73d92a796,2016,php,,CWE-352,,
phpmyadmin,phpmyadmin,3759bdc56de7b742b32f4d0c3f2a452b47dce191,8f8584bf2ed112fc85b1fd7ebfa0f6cfd74927ad,2007,php,,CWE-79,,
realm,realm-cocoa,37c6d421472bb89d0711b99cabaada1e9976bb0f,9a623ef0e43e8f0bcd829393e1737f4b6de82e71,2014,mm,,CWE-401,,
openssl,openssl,380f18ed5f140e0ae1b68f3ab8f4f7c395658d9e,37529928faa8456e85a9c5ad9255517da8dd0c61,2016,c,CVE-2016-0798,CWE-399,7.8,HIGH
joomla,joomla-cms,3825fe7a80a1e16dc4085c066e93c9d295efd12a,9a0446f5b3a377a590186cb7af8b05d7ecec8510,2007,php,,CWE-89,,
realm,realm-cocoa,389737432e18d99fb40e333e80478b8efb43e40d,0a4d63499a7a99e8c135c713b96cea851119e978,2016,m,,,,
vanilla,vanilla,3897b16cdb36e1c35c83cb0a4c017ced89cf6fce,920486d61221779f4010f39657a91ab3825b4d36,2011,php,,CWE-79,,
splitbrain,dokuwiki,395c2f0ff3e87977ea2573587a11f4ef294433f2,1ee9b48eeac0acdc23d10bc12e2efa22a01f9989,2014,php,,,,
php,php-src,398c6e6d1153ca2034a152977d1700629b146e43,bbd6ab2054cbaffbc510a5a9e491a23898faaea9,2012,c,CVE-2011-3389,CWE-20,4.3,MEDIUM
openssl,openssl,399944622df7bd81af62e67ea967c470534090e2,0a4c87a90c6cf6628c688868cd5f13e4b9a5f19d,2016,c,CVE-2016-2178,CWE-200,2.1,LOW
freebsd,freebsd,399bde7ffd971f7602a44774c88871a7414c157b,fdef3ab0211b87d886c8a87fe46be53c0642ee0c,2016,c,,CWE-401,,
josh,rails,39ca25f5c42470b4a446fa7688bce22767d82d79,1650bb3d56897cfef4c7e6b86a36eed4f1a41df5,2013,rb,,CWE-352,,
composer,composer,3a03b51ae324af0c886edcc25e3313787bd3cf68,5292f2b402aee06d51856ccd74e03665f1dc8d67,2016,php,,CWE-78,,
Pylons,pyramid,3a6cbcce80b5292082b2f4e2f920d2df127e2774,cefcf8732b9e17bcde5b2b16fdd9c5118caa3f83,2012,py,,,,
frappe,erpnext,3b2fd6e334c9b15241cab8c1ee412647206d836c,0c8597583985b17b00094fabf61d430567929746,2013,py,,CWE-89,,
